序號,縣市,業者,品項,批號,有效日期
242,彰化縣,佳順免洗餐具商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
243*,彰化縣,上佳鑫商行,沙拉油 18L(福壽),C2150426P,2027.04.14
244,彰化縣,苔凱行,沙拉油 18L(福壽),C21404260,2027.04.13
244,彰化縣,苔凱行,沙拉油-18L(泰山),2027040901,2027.04.09
245,彰化縣,和誠實業有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
245,彰化縣,和誠實業有限公司,益康烹調油(調合油),20270413000403,2027.04.13
245,彰化縣,和誠實業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
245,彰化縣,和誠實業有限公司,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
245,彰化縣,和誠實業有限公司,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
246,彰化縣,上發行,益康大豆沙拉油 18L,20270410000407,2027.04.10
247,彰化縣,金尚旺商行,沙拉油-18L(泰山),2027040901,2027.04.09
248,彰化縣,大之禹總匯商行林森營業所,益康大豆沙拉油 18L,20270411000408,2027.04.11
249,南投縣,俊統食品有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
250,南投縣,金福華,原油,315-1150404,115.9.30
251,南投縣,都源國際有限公司,益康烹調油(調合油),20270414000403,2027.04.14
252,南投縣,良美商行,沙拉油 18L(福壽),C22104260,2027.04.20
253,南投縣,華南食品工業(股)公司,一級黃豆油,202604091315,2026.10.04
254,南投縣,台灣卜蜂企業股份有限公司南投肉品加工廠,益康大豆沙拉油 18L,20270410000407,2027.04.10
255,南投縣,游O良,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
256,南投縣,祥鼎食品有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
256,南投縣,祥鼎食品有限公司,健味香油 3L,BL150426L,2028.04.05
256,南投縣,祥鼎食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
257,南投縣,旺真久企業商行,健味香油 3L,BL150426L,2028.04.05
257,南投縣,旺真久企業商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
258,雲林縣,濃鑫行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
259,雲林縣,松鼎,原油,315-1150404,115.9.30
260,雲林縣,味全食品工業股份有限公司,一級黃豆油,315-1150404,115.9.30
261,雲林縣,多吉師食品有限公司,一級黃豆油,202604081315,2026.10.04
262,雲林縣,樺頻商行,沙拉油-18L(泰山),2027040901,2027.04.09
