序號,縣市,業者,品項,批號,有效日期
57,新北市,桂冠實業股份有限公司,一級黃豆油,202604101315,2026.10.04
58,新北市,帛盈貿易有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
59,新北市,明光食品有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
59,新北市,明光食品有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
60,新北市,尚興榮企業社,益康大豆沙拉油 18L,20270410000407,2027.04.10
61,新北市,明遠雜糧行,益康大豆沙拉油 18L,20270410000407,2027.04.10
62,新北市,豐榆有限公司,健味香油 3L,BL240426L,2028.04.19
62,新北市,豐榆有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
63,新北市,國豐商行有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
64,新北市,路易莎職人咖啡股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
65,新北市,布列德麵包股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
66,新北市,健衛生技有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
67,新北市,大王肉舖店,益康大豆沙拉油 18L,20270411000408,2027.04.11
68,新北市,瓊盛-油脂,金酥耐炸油-18L,2027040801,2027.04.08
68,新北市,瓊盛-油脂,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
69,新北市,元太興有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
69,新北市,元太興有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
70,新北市,鼎旭發有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
71,新北市,豐益糧行,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
72,新北市,台灣優良農產運銷有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
73,新北市,名陽食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
74,新北市,家品商行,沙拉油 18L(福壽),C21604260,2027.04.15
75,新北市,蘋園實業有限公司,金酥耐炸油-18L,2027040801,2027.04.08
75,新北市,蘋園實業有限公司,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
76,新北市,楊O仁,沙拉油 18L(福壽),C21604260,2027.04.15
77,新北市,農昌商行,沙拉油 18L(福壽),C2140426P、C21404260、C2160426P、C22104260、C21604260、C21504260,2027.04.13、2027.04.15
77,新北市,農昌商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
78,新北市,龍鋒商行,沙拉油-18L(泰山),2027040901,2027.04.09
79,新北市,華福食品股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
80,新北市,安穀食品行,沙拉油 18L(福壽),C21604260,2027.04.15
81,新北市,孹進企業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
82,新北市,高聖泰國際企業有限公司,健味香油 3L,BL240426L,2028.04.19
82,新北市,高聖泰國際企業有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
82,新北市,高聖泰國際企業有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
83,新北市,齊魯食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
84,新北市,尚健食品有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
85,新北市,穀良食品有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
86,新北市,廣達香食品股份有限公司,一級黃豆油,202604091315,2026.10.04
87,新北市,鴻記燒臘便當快餐店,沙拉油－塑桶 3L,C1160426K,2027.04.15
88,新北市,長福食品有限公司,健味香油 3L,BL240426L,2028.04.19
88,新北市,長福食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
89,新北市,旭慶實業有限公司,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
89,新北市,旭慶實業有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
89,新北市,旭慶實業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
89,新北市,旭慶實業有限公司,金酥耐炸油-18L,2027040801,2027.04.08
89,新北市,旭慶實業有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21404260,2027.04.13
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21604260,2027.04.15
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21404260,2027.04.13
90,新北市,睿頡雜糧行,沙拉油 18L(福壽),C21604260,2027.04.15
91,新北市,禾禾園國際貿易有限公司,沙拉油 18L(福壽),C21504260,2027.04.14
91,新北市,禾禾園國際貿易有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
92,新北市,廣益雜糧行,益康大豆沙拉油 18L,20270410000407,2027.04.10
93,桃園市,大全聯(觀音)中法鑫,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
93,桃園市,大全聯(觀音)中法鑫,泰山好理調合油-2L*6,2027072506,2027.07.25
93,桃園市,大全聯(觀音)中法鑫,泰山花生風味調和油2L*6入,2027100901,2027.10.09
93,桃園市,大全聯(觀音)中法鑫,泰山好理調合油0.6L*24,2027072506,2027.07.25
94,桃園市,均廣定有限公司,健味香油 3L,BL240426L,2028.04.19
95,桃園市,崧泉有限公司,健味香油 3L,BL240426L,2028.04.19
96,桃園市,建樹企業有限公司,健味香油 3L,BL150426L,2028.04.05
96,桃園市,建樹企業有限公司,健味香油 3L,BL240426L,2028.04.19
96,桃園市,建樹企業有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
97,桃園市,景輝商行,沙拉油 18L(福壽),C21404260,2027.04.13
98*,桃園市,建樹-桃園,健味香油 3L,BL150426L,2028.04.05
99,桃園市,野味企業有限公司,益康烹調油(調合油),20270414000403,2027.04.14
100,桃園市,山珍食品有限公司,益康烹調油(調合油),20270414000403,2027.04.14
101,桃園市,璿民有限公司,益康烹調油(調合油),20270413000403,2027.04.13
102,桃園市,饒O華,益康烹調油(調合油),20270414000403,2027.04.14
103,桃園市,芳水有限公司,益康烹調油(調合油),20270414000403,2027.04.14
104*,桃園市,葉O紅,健味香油 3L,BL150426L,2028.04.05
105,桃園市,建晟食品有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
105,桃園市,建晟食品有限公司,益康烹調油(調合油),20270413000403,2027.04.13
106,桃園市,點線麵餐飲(股)公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
107,桃園市,沅隆食品有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
107,桃園市,沅隆食品有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
107,桃園市,沅隆食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
108,桃園市,總鋪師食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
109,桃園市,遠耀貿易有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
110,桃園市,來來物流大溪,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
110,桃園市,來來物流大溪,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
111,桃園市,泰康食品企業社,益康大豆沙拉油 18KG,20270413000408,2027.04.13
112,桃園市,福泰團膳股份有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
113,桃園市,勁宏企業社,益康大豆沙拉油 18L,20270411000408,2027.04.11
114,桃園市,華全有限公司,金酥耐炸油-18L,2027040801,2027.04.08
114,桃園市,華全有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
114,桃園市,華全有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
115,桃園市,明星商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
116,桃園市,參發商行,沙拉油 18L(福壽),C21504260,2027.04.15
117,桃園市,緯柏國際貿易有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
118,桃園市,大地農產有限公司,一級黃豆油,202604091315,2026.10.04
119,桃園市,三億行,沙拉油-18L(泰山),2027040901,2027.04.09
120,桃園市,家樂福環東倉,泰山花生風味調和油2L*6入,2027100901,2027.10.09
120,桃園市,家樂福環東倉,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
122,桃園市,惠康百貨股份有限公司-Y廠編,泰山花生風味調和油2L*6入,2027100901,2027.10.09
123,桃園市,茂榮食品行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
124,桃園市,宅配通北倉,金酥耐炸油-18L,2027040801,2027.04.08
125,桃園市,富燁食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
126,桃園市,龍膳坊企業有限公司,一級黃豆油,202604091315,2026.10.04
127,桃園市,弘達流通(股)公司-觀音倉,泰山好理調合油-2L*6,2027072506,2027.07.25
127,桃園市,弘達流通(股)公司-觀音倉,泰山花生風味調和油2L*6入,2027100901,2027.10.09
127,桃園市,弘達流通(股)公司-觀音倉,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
127,桃園市,弘達流通(股)公司-觀音倉,泰山好理調合油0.6L*24,2027072506,2027.07.25
128,桃園市,全日物流股份有限公司(Y1觀音常溫倉),環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
129,桃園市,泰山公司北配倉(調撥用),泰山精選蔬菜油-3L*6,2027072506,2027.07.25
129,桃園市,泰山公司北配倉(調撥用),泰山好理調合油-2L*6,2027072506,2027.07.25
129,桃園市,泰山公司北配倉(調撥用),泰山花生風味調和油2L*6入,2027100901,2027.10.09
129,桃園市,泰山公司北配倉(調撥用),泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
129,桃園市,泰山公司北配倉(調撥用),泰山好理調合油0.6L*24,2027072504,2027.07.25
129,桃園市,泰山公司北配倉(調撥用),泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
129,桃園市,泰山公司北配倉(調撥用),泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
130,桃園市,泰山北倉-宏大(大園),泰山精選蔬菜油-3L*6,2027072504,2027.07.25
130,桃園市,泰山北倉-宏大(大園),泰山花生風味調和油2L*6入,2027100901,2027.10.09
130,桃園市,泰山北倉-宏大(大園),泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
131,桃園市,聯華食品工業股份有限公司-中壢,一級黃豆油,202604091315,2026.10.04
132,新竹市,文發商行,沙拉油 18L(福壽),C21404260、C2140426P,2027.04.13
133,新竹市,大富食品行,沙拉油 18L(福壽),C21404260,2027.04.13
133,新竹市,大富食品行,沙拉油－塑桶 3L,C1140426K,2027.04.13
134,新竹市,龍江興南北商行,沙拉油 18L(福壽),C22104260,2027.04.13
134,新竹市,龍江興南北商行,沙拉油 18L(福壽),C21404260,2027.04.20
135,新竹市,吉順行,沙拉油 18L(福壽),C22104260,2027.04.13
135,新竹市,吉順行,沙拉油 18L(福壽),C2140426P,2027.04.20
136,新竹市,鼎生食品有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
137,新竹市,豐炘商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
138,新竹市,典佑食品股份有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
138,新竹市,典佑食品股份有限公司,沙拉油 18L(福壽),C2150426P,2027.04.14
139,新竹市,旺旺來金山商行,沙拉油 18L(福壽),C21604260,2027.04.15
140,新竹市,元昇食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
141,新竹市,御品國際餐飲股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
142,新竹縣,屏榮食品新豐廠,金酥耐炸油-18L,2027040801,2027.04.08
143,新竹縣,坪頂食品有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
144,新竹縣,吉美物流有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
144,新竹縣,吉美物流有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
145,新竹縣,春上股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
146,新竹縣,竹琦食品股份有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
146,新竹縣,竹琦食品股份有限公司,沙拉油 18L(福壽),C21504260、C2150426P,2027.04.14
147,新竹縣,鑫邑商行,沙拉油 18L(福壽),C2150426P,2027.04.14
148,新竹縣,聯合利華股份有限公司,一級黃豆油,202604091315,2026.10.04
149,苗栗縣,名揚商行,沙拉油 18L(福壽),C21504260,2027.04.15
149,苗栗縣,名揚商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
150,苗栗縣,合泰食品南北雜貨行,沙拉油 18L(福壽),C22104260,2027.04.20
151,苗栗縣,好樂迪頭份店,金酥耐炸油-18L,2027040801,2027.04.08
152,苗栗縣,聯有企業有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
152,苗栗縣,聯有企業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
153,苗栗縣,零售-謝O齡,益康大豆沙拉油 18L,20270410000407,2027.04.10
154,苗栗縣,詮紘食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
155,苗栗縣,口美商社,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
156,臺中市,勝新商行,泰山好理調合油-2L*6,2027072506,2027.07.25
156,臺中市,勝新商行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
157,臺中市,志達實業股份有限公司,金酥耐炸油-18L,2027040801,2027.04.08
158,臺中市,好樂迪大里店,金酥耐炸油-18L,2027040801,2027.04.08
159,臺中市,俏嘉詮企業有限公司,益康烹調油(調合油),20270413000403,2027.04.13
160,臺中市,津華食品有限公司,健味香油 3L,BL240426L,2028.04.19
161,臺中市,怡饗美食股份有限公司,健味香油 3L,BL240426L,2028.04.19
162,臺中市,福壽實業股份有限公司,健味香油 3L,BL240426L,2028.04.19
162,臺中市,福壽實業股份有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
162,臺中市,福壽實業股份有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
162,臺中市,福壽實業股份有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
163*,臺中市,群用企業有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
163*,臺中市,群用企業有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
163*,臺中市,群用企業有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
164,臺中市,新生活興業有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
165,臺中市,永逸富有限公司,沙拉油 18L(福壽),C2140426P,2027.04.13
165,臺中市,永逸富有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
166,臺中市,賴O聖,沙拉油 18L(福壽),C21404260,2027.04.13
167,臺中市,陳O萍,沙拉油 18L(福壽),C21404260、C2140426P,2027.04.13
168,臺中市,台邑餐飲有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
169,臺中市,寶喆食品有限公司,益康烹調油(調合油),20270414000403,2027.04.14
170,臺中市,和岱有限公司,健味香油 3L,BL150426L,2028.04.05
170,臺中市,和岱有限公司,健味香油 3L,BL240426L,2028.04.19
171,臺中市,品欣食品商行,益康烹調油(調合油),20270414000403,2027.04.14
172,臺中市,明昱商行,益康烹調油(調合油),20270413000403,2027.04.13
173,臺中市,巨盛洋行,益康大豆沙拉油 18L,20270410000407,2027.04.10
174,臺中市,美升鮮台中倉,沙拉油-18L(泰山),2027040901,2027.04.09
175,臺中市,億錦德商行,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
176,臺中市,連興油行,金酥耐炸油-18L,2027040801,2027.04.08
176,臺中市,連興油行,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
176,臺中市,連興油行,沙拉油-18L(泰山),2027040901,2027.04.09
176,臺中市,連興油行,沙拉油-18L(泰山),2027040901,2027.04.09
176,臺中市,連興油行,益康大豆沙拉油 18L,20270410000407,2027.04.10
176,臺中市,連興油行,沙拉油 18L(福壽),C21604260,2027.04.15
176,臺中市,連興油行,沙拉油－塑桶 3L,C1160426K,2027.04.15
177,臺中市,鴻昌商行倉庫,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
178,臺中市,金食在食材有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
178,臺中市,金食在食材有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
178,臺中市,金食在食材有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
178,臺中市,金食在食材有限公司,環保鐵桶沙拉油-18Kg,2027040901,2027.04.09
179,臺中市,茗洋企業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
180,臺中市,弘達流通(股)公司-梧棲倉,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
180,臺中市,弘達流通(股)公司-梧棲倉,泰山花生風味調和油2L*6入,2027100901,2027.10.09
180,臺中市,弘達流通(股)公司-梧棲倉,泰山好理調合油0.6L*24,2027072504,2027.07.25
180,臺中市,弘達流通(股)公司-梧棲倉,泰山好理調合油-2L*6,2027072506,2027.07.25
180,臺中市,弘達流通(股)公司-梧棲倉,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
181,臺中市,今春企業股份有限公司,泰山花生風味調和油2L*6入,2027100901,2027.10.09
181,臺中市,今春企業股份有限公司,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
182,臺中市,森御盒膳股份有限公司,一級黃豆油,202604091315,2026.10.04
183,臺中市,永順豐商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
184,臺中市,張O棟,益康大豆沙拉油 18KG,20270413000408,2027.04.13
185,臺中市,富達食品有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
186,臺中市,仁偉商行,沙拉油 18L(福壽),C21604260,2027.04.15
187,臺中市,米谷食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
188,臺中市,味源股份有限公司,益康大豆沙拉油 18L,20270410000407,2027.04.10
